dataset,model_key,loss,eval_split,baseline,strategy,metric,n_seeds,n_queries_min,baseline_mean,strategy_mean,mean_diff,seed_sd_diff,paired_effect_dz,seed_win_rate,hierarchical_ci95_low,hierarchical_ci95_high
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,MAP@100,10,32,0.007420413208994915,0.01657296149954869,0.009152548290553777,0.001836547778890707,4.98356122054282,1.0,0.006603208291946066,0.011845899440837934
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,Recall@100,10,32,0.04246875,0.06925,0.02678125,0.005492359750143831,4.8760917380364,1.0,0.01928125,0.034749999999999996
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,NDCG@10,10,32,0.03793594668714668,0.11737558590512798,0.07943963921798132,0.016807572000353106,4.72641968847805,1.0,0.05323749610221285,0.10532101189347222
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,MRR@10,10,32,0.05977926587301587,0.18953993055555557,0.1297606646825397,0.03145954582440869,4.124683344343183,1.0,0.08744720362103174,0.17437279885912696
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,MAP@100,10,32,0.007420413208994915,0.02197689664137421,0.014556483432379294,0.0027700140247297507,5.25502156394297,1.0,0.010716149668601406,0.018562505315815166
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,Recall@100,10,32,0.04246875,0.07453125000000001,0.0320625,0.007517629742441725,4.264974612807428,1.0,0.023467968750000005,0.041031250000000005
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,32,0.03793594668714668,0.06076425370942381,0.022828307022277138,0.01668939774602242,1.3678328822690922,0.9,0.0011290726036492613,0.04612844776232025
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,32,0.05977926587301587,0.08534474206349206,0.025565476190476187,0.03457930825618308,0.7393287338506797,0.8,-0.01236387028769841,0.06333968874007935
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,32,0.007420413208994915,0.01766475675605221,0.010244343547057297,0.001783093888312771,5.745263114973083,1.0,0.0070145017726079145,0.013751787907912765
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,32,0.04246875,0.07753125,0.035062499999999996,0.0069093208984514366,5.074666601150113,1.0,0.025750000000000002,0.04456328124999998
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,32,0.03793594668714668,0.0900917612137113,0.05215581452656463,0.017183506034497493,3.035225431984425,1.0,0.0310175718672035,0.0740214161189435
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,32,0.05977926587301587,0.1910751488095238,0.13129588293650793,0.04548615245082761,2.886502283930129,1.0,0.08491198536706349,0.1800596168154762
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,32,0.007420413208994915,0.015342292374555736,0.007921879165560818,0.002689877985723644,2.94507007663756,1.0,0.005192259002190054,0.010762080616226403
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,32,0.04246875,0.0695625,0.02709375,0.007949561592558982,3.4082068155004333,1.0,0.018750000000000003,0.03606406249999998
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,500,0.15474376279781318,0.17241441755854364,0.01767065476073045,0.018905639892911105,0.9346763643454497,0.7,0.005706638916217492,0.029816642941029637
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,500,0.14051142857142856,0.15958015873015874,0.019068730158730157,0.01680323630563278,1.1348248523016926,0.8,0.007429684523809523,0.030506904761904756
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,500,0.13729125284948035,0.15302718397467518,0.015735931125194842,0.015375808748301394,1.0234213616199688,0.8,0.0056168796940701295,0.025592046048430343
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,500,0.5218868437118437,0.565682324064824,0.04379548035298035,0.03434079948633132,1.2753191832476782,0.9,0.022622337266899765,0.06609996626984128
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,NDCG@10,10,500,0.15474376279781318,0.17334146204978768,0.018597699251974496,0.015520381665592003,1.198275896346336,0.9,0.008381462583214268,0.029249116014539073
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,MRR@10,10,500,0.14051142857142856,0.15812642857142858,0.017615,0.012259097619066685,1.4368920574221735,0.9,0.00827123015873016,0.02656666865079365
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,MAP@100,10,500,0.13729125284948035,0.15281710286530908,0.015525850015828754,0.0115060649851434,1.3493622742332578,1.0,0.007586219806620199,0.02381338227436534
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,Recall@100,10,500,0.5218868437118437,0.5616959726384726,0.039809128926628926,0.038139830556306965,1.043767849672471,0.9,0.018158228903041404,0.06404346152458651
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,NDCG@10,10,500,0.15474376279781318,0.2954524661422685,0.14070870334445526,0.019371109040777663,7.263843440675116,1.0,0.12722483030693338,0.15454845750967625
