dataset,model_key,loss,eval_split,training_seed,strategy,metric,n_queries,mean
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-rank-matched,NDCG@10,32,0.011070169473454426
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-rank-matched,MRR@10,32,0.017485119047619048
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-rank-matched,MAP@100,32,0.006424486242981597
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-rank-matched,Recall@100,32,0.0403125
course_skill_atlas,bge-base,cached-mnrl,dev,66,DPR-Random,NDCG@10,32,0.07910293149818722
course_skill_atlas,bge-base,cached-mnrl,dev,66,DPR-Random,MRR@10,32,0.10615079365079365
course_skill_atlas,bge-base,cached-mnrl,dev,66,DPR-Random,MAP@100,32,0.01741124586183001
course_skill_atlas,bge-base,cached-mnrl,dev,66,DPR-Random,Recall@100,32,0.0746875
course_skill_atlas,bge-base,cached-mnrl,dev,66,DenseNeg,NDCG@10,32,0.06171123905266226
course_skill_atlas,bge-base,cached-mnrl,dev,66,DenseNeg,MRR@10,32,0.14036458333333332
course_skill_atlas,bge-base,cached-mnrl,dev,66,DenseNeg,MAP@100,32,0.013481779414970146
course_skill_atlas,bge-base,cached-mnrl,dev,66,DenseNeg,Recall@100,32,0.0646875
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-full,NDCG@10,32,0.011403842874252189
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-full,MRR@10,32,0.01830357142857143
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-full,MAP@100,32,0.004632819570052258
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-full,Recall@100,32,0.0315625
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-rank-matched,NDCG@10,32,0.018202395292312205
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-rank-matched,MRR@10,32,0.019655257936507936
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-rank-matched,MAP@100,32,0.005698004437827016
course_skill_atlas,bge-base,cached-mnrl,dev,77,CA-HNM-rank-matched,Recall@100,32,0.0365625
course_skill_atlas,bge-base,cached-mnrl,dev,77,DPR-Random,NDCG@10,32,0.09325262885052941
course_skill_atlas,bge-base,cached-mnrl,dev,77,DPR-Random,MRR@10,32,0.15922619047619047
course_skill_atlas,bge-base,cached-mnrl,dev,77,DPR-Random,MAP@100,32,0.020064996636052622
course_skill_atlas,bge-base,cached-mnrl,dev,77,DPR-Random,Recall@100,32,0.084375
course_skill_atlas,bge-base,cached-mnrl,dev,77,DenseNeg,NDCG@10,32,0.09300464513718085
course_skill_atlas,bge-base,cached-mnrl,dev,77,DenseNeg,MRR@10,32,0.17916666666666667
course_skill_atlas,bge-base,cached-mnrl,dev,77,DenseNeg,MAP@100,32,0.016745027053586204
course_skill_atlas,bge-base,cached-mnrl,dev,77,DenseNeg,Recall@100,32,0.0765625
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-full,NDCG@10,32,0.029628119071707308
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-full,MRR@10,32,0.07291666666666667
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-full,MAP@100,32,0.006956185740158299
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-full,Recall@100,32,0.031875
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-rank-matched,NDCG@10,32,0.015398810062111194
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-rank-matched,MRR@10,32,0.04175347222222222
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-rank-matched,MAP@100,32,0.005321462631336434
course_skill_atlas,bge-base,cached-mnrl,dev,88,CA-HNM-rank-matched,Recall@100,32,0.0328125
course_skill_atlas,bge-base,cached-mnrl,dev,88,DPR-Random,NDCG@10,32,0.055358261397145524
course_skill_atlas,bge-base,cached-mnrl,dev,88,DPR-Random,MRR@10,32,0.10264136904761904
course_skill_atlas,bge-base,cached-mnrl,dev,88,DPR-Random,MAP@100,32,0.017448879012716016
course_skill_atlas,bge-base,cached-mnrl,dev,88,DPR-Random,Recall@100,32,0.0778125
course_skill_atlas,bge-base,cached-mnrl,dev,88,DenseNeg,NDCG@10,32,0.08696983726595817
course_skill_atlas,bge-base,cached-mnrl,dev,88,DenseNeg,MRR@10,32,0.21484375
course_skill_atlas,bge-base,cached-mnrl,dev,88,DenseNeg,MAP@100,32,0.015901949567639528
course_skill_atlas,bge-base,cached-mnrl,dev,88,DenseNeg,Recall@100,32,0.07625
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-full,NDCG@10,32,0.0183223295836609
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-full,MRR@10,32,0.033854166666666664
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-full,MAP@100,32,0.005973285223134751
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-full,Recall@100,32,0.0325
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-rank-matched,NDCG@10,32,0.022799041985460504
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-rank-matched,MRR@10,32,0.044047619047619044
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-rank-matched,MAP@100,32,0.006671496364704094
course_skill_atlas,bge-base,cached-mnrl,dev,99,CA-HNM-rank-matched,Recall@100,32,0.0384375
course_skill_atlas,bge-base,cached-mnrl,dev,99,DPR-Random,NDCG@10,32,0.07106154439364448
course_skill_atlas,bge-base,cached-mnrl,dev,99,DPR-Random,MRR@10,32,0.13854166666666667
course_skill_atlas,bge-base,cached-mnrl,dev,99,DPR-Random,MAP@100,32,0.01868844019249168
course_skill_atlas,bge-base,cached-mnrl,dev,99,DPR-Random,Recall@100,32,0.074375
course_skill_atlas,bge-base,cached-mnrl,dev,99,DenseNeg,NDCG@10,32,0.06482801558471081
course_skill_atlas,bge-base,cached-mnrl,dev,99,DenseNeg,MRR@10,32,0.13193204365079364
course_skill_atlas,bge-base,cached-mnrl,dev,99,DenseNeg,MAP@100,32,0.016729764412102718
course_skill_atlas,bge-base,cached-mnrl,dev,99,DenseNeg,Recall@100,32,0.075625
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-full,NDCG@10,32,0.049836183505454955
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-full,MRR@10,32,0.10416666666666667
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-full,MAP@100,32,0.009067921248021003
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-full,Recall@100,32,0.039375
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-rank-matched,NDCG@10,32,0.026636095053794422
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-rank-matched,MRR@10,32,0.058159722222222224
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-rank-matched,MAP@100,32,0.006993918185497021
course_skill_atlas,bge-base,triplet,dev,11,CA-HNM-rank-matched,Recall@100,32,0.04
course_skill_atlas,bge-base,triplet,dev,11,DPR-Random,NDCG@10,32,0.21403373040079599
course_skill_atlas,bge-base,triplet,dev,11,DPR-Random,MRR@10,32,0.32061011904761905
course_skill_atlas,bge-base,triplet,dev,11,DPR-Random,MAP@100,32,0.06740707086810373
course_skill_atlas,bge-base,triplet,dev,11,DPR-Random,Recall@100,32,0.143125
course_skill_atlas,bge-base,triplet,dev,11,DenseNeg,NDCG@10,32,0.039722151754727986
course_skill_atlas,bge-base,triplet,dev,11,DenseNeg,MRR@10,32,0.09852430555555555
course_skill_atlas,bge-base,triplet,dev,11,DenseNeg,MAP@100,32,0.006924331870169295
course_skill_atlas,bge-base,triplet,dev,11,DenseNeg,Recall@100,32,0.0384375
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-full,NDCG@10,32,0.05464937336422262
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-full,MRR@10,32,0.10807291666666667
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-full,MAP@100,32,0.009843534032278157
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-full,Recall@100,32,0.04125
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-rank-matched,NDCG@10,32,0.046295928084474476
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-rank-matched,MRR@10,32,0.09479166666666666
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-rank-matched,MAP@100,32,0.00815376355310155
course_skill_atlas,bge-base,triplet,dev,111,CA-HNM-rank-matched,Recall@100,32,0.0403125
course_skill_atlas,bge-base,triplet,dev,111,DPR-Random,NDCG@10,32,0.21982077141617237
course_skill_atlas,bge-base,triplet,dev,111,DPR-Random,MRR@10,32,0.26796875
course_skill_atlas,bge-base,triplet,dev,111,DPR-Random,MAP@100,32,0.08082447434665868
course_skill_atlas,bge-base,triplet,dev,111,DPR-Random,Recall@100,32,0.1709375
course_skill_atlas,bge-base,triplet,dev,111,DenseNeg,NDCG@10,32,0.03719142399569213
course_skill_atlas,bge-base,triplet,dev,111,DenseNeg,MRR@10,32,0.0875
course_skill_atlas,bge-base,triplet,dev,111,DenseNeg,MAP@100,32,0.005989418202546908
course_skill_atlas,bge-base,triplet,dev,111,DenseNeg,Recall@100,32,0.0325
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-full,NDCG@10,32,0.08159531501227986
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-full,MRR@10,32,0.1388888888888889
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-full,MAP@100,32,0.014830378549780272
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-full,Recall@100,32,0.06
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-rank-matched,NDCG@10,32,0.09242653674780298
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-rank-matched,MRR@10,32,0.16831597222222222
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-rank-matched,MAP@100,32,0.01663680351528827
course_skill_atlas,bge-base,triplet,dev,22,CA-HNM-rank-matched,Recall@100,32,0.0615625
course_skill_atlas,bge-base,triplet,dev,22,DPR-Random,NDCG@10,32,0.19209126669408197
course_skill_atlas,bge-base,triplet,dev,22,DPR-Random,MRR@10,32,0.3170138888888889
course_skill_atlas,bge-base,triplet,dev,22,DPR-Random,MAP@100,32,0.06385872208276192
course_skill_atlas,bge-base,triplet,dev,22,DPR-Random,Recall@100,32,0.14625000000000002
course_skill_atlas,bge-base,triplet,dev,22,DenseNeg,NDCG@10,32,0.03761482517914274
course_skill_atlas,bge-base,triplet,dev,22,DenseNeg,MRR@10,32,0.05498511904761905
course_skill_atlas,bge-base,triplet,dev,22,DenseNeg,MAP@100,32,0.00563215581019234
course_skill_atlas,bge-base,triplet,dev,22,DenseNeg,Recall@100,32,0.035625
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-full,NDCG@10,32,0.06715871436390015
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-full,MRR@10,32,0.11901041666666666
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-full,MAP@100,32,0.012541238971986227
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-full,Recall@100,32,0.052187500000000005
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-rank-matched,NDCG@10,32,0.06992991542100324
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-rank-matched,MRR@10,32,0.10190972222222222
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-rank-matched,MAP@100,32,0.013696807025060827
course_skill_atlas,bge-base,triplet,dev,33,CA-HNM-rank-matched,Recall@100,32,0.0575
course_skill_atlas,bge-base,triplet,dev,33,DPR-Random,NDCG@10,32,0.26381176451726446
course_skill_atlas,bge-base,triplet,dev,33,DPR-Random,MRR@10,32,0.37135416666666665
course_skill_atlas,bge-base,triplet,dev,33,DPR-Random,MAP@100,32,0.07748105239961571
