dataset,model_key,loss,eval_split,baseline,strategy,metric,n_seeds,n_queries_min,baseline_mean,strategy_mean,mean_diff,seed_sd_diff,paired_effect_dz,seed_win_rate,hierarchical_ci95_low,hierarchical_ci95_high
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,500,0.5475785758685758,0.5683368215118214,0.020758245643245642,0.03226140238848856,0.6434390357020732,0.7,0.00031445331751581856,0.040618985181485184
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,500,0.1680035553170322,0.3179525364731671,0.14994898115613495,0.021187114117995974,7.07736694676935,1.0,0.13628449720304547,0.16519380574896214
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,500,0.1489068253968254,0.2918077777777778,0.14290095238095238,0.02090564999673686,6.8355182643571295,1.0,0.1288553115079365,0.15807614682539683
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,500,0.14583866800553272,0.28682953788987886,0.14099086988434612,0.01666236199099496,8.461637669409866,1.0,0.12927168318792143,0.15261174951439843
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,500,0.5475785758685758,0.8894312978687978,0.341852722000222,0.02677841692478828,12.765979518519458,1.0,0.3233370592948718,0.36310407158119656
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,500,0.1680035553170322,0.27425114751389595,0.10624759219686375,0.01872765529912326,5.6732992197820815,1.0,0.09296818820309621,0.11942129091793958
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,500,0.1489068253968254,0.2668515079365079,0.11794468253968253,0.020384137088789587,5.78610132113697,1.0,0.10364040476190475,0.13276265277777777
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,500,0.14583866800553272,0.25150412011911377,0.10566545211358107,0.01685280116753718,6.269904395307283,1.0,0.09337313186920826,0.11724429410022684
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,500,0.5475785758685758,0.7193879917304917,0.17180941586191587,0.0368038540605587,4.668245221796962,1.0,0.14948285467310465,0.19641076526945278
mooccubex,bge-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,500,0.16533474021502104,0.24718958548401004,0.08185484526898902,0.037163285660612125,2.2025728838003062,1.0,0.05894112279656024,0.1041664726436171
